query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,8,1088,681,1769,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,9,1088,799,1887,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,10,1088,803,1891,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,1,1187,677,1864,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,2,1187,815,2002,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,3,1187,862,2049,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,4,1187,905,2092,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,5,1187,871,2058,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,6,1187,743,1930,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,7,1187,784,1971,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,8,1187,670,1857,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,9,1187,786,1973,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,10,1187,799,1986,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,1,1187,675,1862,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,2,1187,815,2002,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,3,1187,883,2070,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,4,1187,921,2108,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,5,1187,894,2081,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,6,1187,808,1995,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,7,1187,783,1970,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,8,1187,855,2042,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,9,1187,776,1963,likely gpt-4.1-mini
7/28/2025 20:00,Giuliani SSP MSA,MSA,extraction,10,1187,805,1992,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,1,1210,695,1905,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,2,1210,795,2005,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,3,1210,875,2085,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,4,1210,923,2133,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,5,1210,891,2101,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,6,1210,751,1961,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,7,1210,792,2002,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,8,1210,683,1893,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,9,1210,712,1922,likely gpt-4.1-mini
7/29/2025 21:35,Giuliani SSP MSA,MSA,extraction,10,1210,797,2007,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,1,1352,680,2032,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,2,1352,815,2167,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,3,1352,870,2222,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,4,1352,887,2239,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,5,1352,871,2223,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,6,1352,752,2104,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,7,1352,792,2144,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,8,1352,684,2036,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,9,1352,711,2063,likely gpt-4.1-mini
7/29/2025 21:50,Giuliani SSP MSA,MSA,extraction,10,1352,536,1888,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,1,1382,675,2057,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,2,1382,816,2198,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,3,1382,887,2269,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,4,1382,875,2257,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,5,1382,905,2287,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,6,1382,752,2134,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,7,1382,934,2316,likely gpt-4.1-mini
7/29/2025 22:07,Giuliani SSP MSA,MSA,extraction,8,1382,682,2064,likely gpt-4.1-mini
